facility_name,district,level,latitude,longitude
998 Kagoma County Buwenge Town Council,Jinja,Hospital,,
2102 Luuka County Luuka Town Council,Luuka,Hospital,,
3130 Pallisa County Pallisa Town Council,Pallisa,Hospital,,
Abim General,Abim,Hospital,,
1 East Moyo HSD Adjumani General,Adjumani,Hospital,,
Kalongo Ambrosoli Memerial General,Agago,Hospital,,
Amai Community General,Amolatar,Hospital,,
Amudat General,Amudat,Hospital,,
Apac General,Apac,Hospital,,
Nightingale General,Apac,Hospital,,
10Arua Municipality HSD Arua (Arua RR,Arua,Hospital,,
15 Arua Municipality HSD Arua Regional Referral,Arua,Hospital,,
32 Vurra And Upper Madi HSD Kuluva General,Arua,Hospital,,
Oriajini General,Arua,Hospital,,
67 Arua Municipality HSD Pioneer General,Arua,Hospital,,
Rhema General,Arua,Hospital,,
River Side Medical Research Center General,Budaka,Hospital,,
Bududa General,Bududa,Hospital,,
4 Bukooli North HSD Bugiri General,Bugiri,Hospital,,
Tumu General,Buhweju,Hospital,,
8 Buikwe South HSD Buikwe St. Charles Lwanga General,Buikwe,Hospital,,
27 Buikwe West HSD Kawolo General,Buikwe,Hospital,,
38 Buikwe West HSD Lugazi Scoul General,Buikwe,Hospital,,
48 Buikwe South HSD Nkokonjeru General,Buikwe,Hospital,,
54 Buikwe North HSD St. Francis Nyenga General,Buikwe,Hospital,,
Bukwo General General,Bukwo,Hospital,,
Buliisa General,Buliisa,Hospital,,
Bundibugyo General,Bundibugyo,Hospital,,
10 Igara West HSD Comboni General,Bushenyi,Hospital,,
12 Bushenyi Ishaka Municipality HSD Ishaka Adventist General,Bushenyi,Hospital,,
24 Bushenyi Ishaka Municipality HSD KIU Teaching General,Bushenyi,Hospital,,
13 Samia Bugwe North HSD Dabani General,Busia,Hospital,,
23 Samia Bugwe South HSD Masafu General,Busia,Hospital,,
Busolwe General,Butaleja,Hospital,,
Kabasa Memorial General,Butaleja,Hospital,,
Gombe (Butambala) General,Butambala,Hospital,,
16 Gulu Municipality HSD Gulu (Gulu RR,Gulu,Hospital,,
17 Gulu Municipality HSD Gulu Independent General,Gulu,Hospital,,
19 Gulu Municipality HSD Gulu Military General,Gulu,Hospital,,
22 Gulu Municipality HSD Gulu Regional Referral,Gulu,Hospital,,
58 Gulu Municipality HSD St.Mary’s Lacor General,Gulu,Hospital,,
25 Hoima Municipality HSD Hoima Regional Referral,Hoima,Hospital,,
15 Ibanda Municipality HSD Ibanda General,Ibanda,Hospital,,
21 Kigulu South HSD Iganga General,Iganga,Hospital,,
65 Kigulu South HSD New Hope General,Iganga,Hospital,,
2 Jinja Municipality West HSD Al-Shafa Medical Centre General,Jinja,Hospital,,
Almeca Medicare General,Jinja,Hospital,,
Buwenge General,Jinja,Hospital,,
Buwenge NGO General,Jinja,Hospital,,
36 Jinja Municipality West HSD Jinja Regional Referral,Jinja,Hospital,,
Kakira Sugar General,Jinja,Hospital,,
1 Dodoth East HSD Kaabong General,Kaabong,Hospital,,
15 Kabale Municipality HSD Kabale Regional Referral,Kabale,Hospital,,
84 Kabale Municipality HSD Rugarama General,Kabale,Hospital,,
8 Fortportal Municipality HSD Fort Portal Regional Referral,Kabarole,Hospital,,
12 Fortportal Municipality HSD Kabarole COU General,Kabarole,Hospital,,
Kida General,Kabarole,Hospital,,
75 Fortportal Municipality HSD Virika General,Kabarole,Hospital,,
Lwala General,Kaberamaido,Hospital,,
Kagadi General,Kagadi,Hospital,,
33 Kalungu West HSD Villa Maria General,Kalungu,Hospital,,
153 Nakawa Division HSD Butabika National Referral,Kampala,Hospital,,
172 Central Division HSD Case Medical Centre General,Kampala,Hospital,,
382 Rubaga Division HSD Galilee Community General,Kampala,Hospital,,
530 Makindye Division HSD International,Kampala,Hospital,,
618 Central Division HSD Kampala General,Kampala,Hospital,,
623 Nakawa Division HSD Kampala Independent General,Kampala,Hospital,,
648 Kawempe Division HSD Kawempe Regional Referral,Kampala,Hospital,,
667 Makindye Division HSD Kibuli Muslim General,Kampala,Hospital,,
682 Makindye Division HSD Kiruddu Regional Referral,Kampala,Hospital,,
721 Central Division HSD Kololo General,Kampala,Hospital,,
783 Rubaga Division HSD Lubaga General,Kampala,Hospital,,
813 Central Division HSD Makerere University General,Kampala,Hospital,,
881 Rubaga Division HSD Mengo General,Kampala,Hospital,,
900Nakawa Division HSD Middle East,Kampala,Hospital,,
953 Makindye Division HSD Mukwaya General,Kampala,Hospital,,
955 Kawempe Division HSD Mulago National Referral,Kampala,Hospital,,
968 Nakawa Division HSD Murchision Bay General,Kampala,Hospital,,
991 Central Division HSD Nakasero General,Kampala,Hospital,,
1036 Central Division HSD Norvick General,Kampala,Hospital,,
1050 Central Division HSD Old Kampala General,Kampala,Hospital,,
1065 Nakawa Division HSD Paragon General,Kampala,Hospital,,
1321 Central Division HSD St. Catherine’s General,Kampala,Hospital,,
1323 Makindye Division HSD St. Francis Nsambya General,Kampala,Hospital,,
1443 Nakawa Division HSD Victoria General,Kampala,Hospital,,
1474Nakawa Division HSD Womens,Kampala,Hospital,,
24 Bugabula North HSD Kamuli General,Kamuli,Hospital,,
26 Bugabula North HSD Kamuli Mission General,Kamuli,Hospital,,
10 Kinkizi West HSD Bwindi Community General,Kanungu,Hospital,,
14 Kinkizi East HSD Kambuga General,Kanungu,Hospital,,
Kapchorwa General,Kanungu,Hospital,,
14 Bukonzo West HSD Bwera General,Kasese,Hospital,,
31 Bukonzo East HSD Kagando General,Kasese,Hospital,,
Katakwi General,Katakwi,Hospital,,
